id;name;price;capacity;price_per_gb;type;cache;form_factor;interface
4956;Seagate Constellation ES;;500;;7200;64;3.5;SAS 6.0 Gb/s
4957;Seagate Savvio 10K.5;;600;;10000;64;2.5;SAS 6.0 Gb/s
4958;Western Digital WDBMYH3200ANC-NRSN;;320;;5400;8;2.5;SATA 3.0 Gb/s
4959;OCZ Deneva 2 C;;120;;SSD;;2.5;SATA 6.0 Gb/s
4960;OCZ Deneva 2 C;;240;;SSD;;2.5;SATA 6.0 Gb/s
4961;OCZ Vertex 450 Series 128;;128;;SSD;;2.5;SATA 6.0 Gb/s
4962;Corsair Neutron;;512;;SSD;;2.5;SATA 6.0 Gb/s
4963;Intel DC S3500;;240;;SSD;;2.5;SATA 6.0 Gb/s
4964;Mushkin Chronos;;360;;SSD;;2.5;SATA 6.0 Gb/s
4965;Edge Tech Pro;;480;;SSD;;2.5;SATA 6.0 Gb/s
4966;Edge Tech Boost Pro Slim;;60;;SSD;;2.5;SATA 6.0 Gb/s
4967;Kingston SSDNow V+200;;240;;SSD;;2.5;SATA 6.0 Gb/s
4968;Western Digital Blue;91.75;250;0.367;5400;8;2.5;SATA 6.0 Gb/s
4969;Hitachi 0G02001;;3000;;7200;32;3.5;SATA 6.0 Gb/s
4970;Lenovo 0C19494;;300;;15000;32;2.5;SAS 6.0 Gb/s
4971;Lenovo 0C19495;;500;;7200;32;2.5;SATA 6.0 Gb/s
4972;Toshiba MQ01ABC150;;1500;;5400;8;2.5;SAS 3.0 Gb/s
4973;Toshiba P000539200;;640;;5400;16;2.5;SATA 3.0 Gb/s
4974;Toshiba WD6400BPVT;;640;;5400;16;2.5;SATA 3.0 Gb/s
4975;Toshiba AL13SE;;300;;10500;64;2.5;SAS 6.0 Gb/s
4976;Toshiba AL13SE;;900;;10500;64;2.5;SAS 6.0 Gb/s
4977;Toshiba AL13SE;;600;;10500;64;2.5;SAS 6.0 Gb/s
4978;Toshiba MBF230LRC;;300;;10000;16;3.5;SAS 6.0 Gb/s
4979;Toshiba MG03SCA;46.2;1000;0.046;7200;64;3.5;SAS 6.0 Gb/s
4980;Toshiba MG03SCA;;2000;;7200;64;3.5;SATA 6.0 Gb/s
4981;Toshiba MG03SCA;;3000;;7200;64;3.5;SATA 6.0 Gb/s
4982;OCZ Deneva 2;;60;;SSD;;2.5;SATA 6.0 Gb/s
4983;Seagate Constellation ES;99.99;1000;0.1;7200;64;3.5;SAS 6.0 Gb/s
4984;Seagate Constellation ES;;2000;;7200;64;3.5;SAS 6.0 Gb/s
4985;Seagate Constellation ES;;2000;;7200;64;3.5;SAS 6.0 Gb/s
4986;Seagate Constellation ES;;1000;;7200;16;3.5;SAS 6.0 Gb/s
4987;Seagate Constellation ES;;2000;;7200;16;3.5;SAS 6.0 Gb/s
4988;Seagate Constellation ES.2;;2000;;7200;64;3.5;SAS 6.0 Gb/s
4989;Seagate Constellation ES.2;;2000;;7200;64;3.5;SAS 6.0 Gb/s
4990;Seagate Constellation ES.2;;2000;;7200;64;3.5;SAS 6.0 Gb/s
4991;Seagate Constellation ES.2;125;3000;0.042;7200;64;3.5;SAS 6.0 Gb/s
4992;Seagate Constellation ES;120.13;500;0.24;7200;64;3.5;SAS 6.0 Gb/s
4993;Seagate Constellation ES;;500;;7200;64;3.5;SAS 6.0 Gb/s
4994;Seagate Constellation.2;;1000;;7200;64;2.5;SAS 6.0 Gb/s
4995;Seagate Constellation.2;;1000;;7200;64;2.5;SAS 6.0 Gb/s
4996;Seagate Constellation;;500;;7200;16;2.5;SAS 6.0 Gb/s
4997;Seagate Constellation.2;;500;;7200;64;2.5;SAS 6.0 Gb/s
4998;Transcend 720 mSATA;;128;;SSD;;mSATA;mSATA
4999;Seagate Barracuda ES.2;;500;;7200;32;3.5;SATA 3.0 Gb/s
5000;Western Digital Black;;160;;7200;16;2.5;SATA 6.0 Gb/s
5001;Western Digital WD3200BPVT/BVVT/BEVT;;320;;5400;8;2.5;SATA 3.0 Gb/s
5002;Kingston KC300;;120;;SSD;;2.5;SATA 6.0 Gb/s
5003;Kingston KC300;199.99;240;0.833;SSD;;2.5;SATA 6.0 Gb/s
5004;Kingston KC300;309.99;480;0.646;SSD;;2.5;SATA 6.0 Gb/s
5005;Kingston KC300;;60;;SSD;;2.5;SATA 6.0 Gb/s
5006;Samsung 840;;120;;SSD;;2.5;SATA 6.0 Gb/s
5007;Seagate ST320LT030;;320;;5400;16;2.5;SATA 6.0 Gb/s
5008;Seagate Constellation Product Series:ES.3;175;4000;0.044;7200;128;3.5;SAS 6.0 Gb/s
5009;Western Digital WDBMYH5000ANC-NRSN;69.11;500;0.138;5400;8;2.5;SATA 3.0 Gb/s
5010;OCZ Deneva 2 C;;480;;SSD;;2.5;SATA 6.0 Gb/s
5011;OCZ Talos 2;;960;;SSD;;2.5;SAS 6.0 Gb/s
5012;OCZ Vector 150;;480;;SSD;;2.5;SATA 6.0 Gb/s
5013;OCZ Vertex 450;;128;;SSD;;2.5;SATA 6.0 Gb/s
5014;OCZ Vertex 450;;256;;SSD;;2.5;SATA 6.0 Gb/s
5015;PLDS M5M;;128;;SSD;;mSATA;mSATA
5016;PLDS M5M;;256;;SSD;;mSATA;mSATA
5017;PLDS M5M;;64;;SSD;;mSATA;mSATA
5018;Kingston SSDNow V+200;;240;;SSD;;2.5;SATA 6.0 Gb/s
5019;Mushkin Atlas Deluxe;;480;;SSD;;mSATA;mSATA
5020;VisionTek Data Fusion 2-way;;480;;SSD;;PCIe;PCIe x2
5021;VisionTek Data Fusion 2-way;;960;;SSD;;PCIe;PCIe x2
5022;Crucial M500;487.77;480;1.016;SSD;;mSATA;mSATA
5023;Hitachi Travelstar Z5K500;;320;;5400;8;2.5;SATA 3.0 Gb/s
5024;Hitachi Travelstar;;500;;5400;16;2.5;SATA 3.0 Gb/s
5025;IBM 43X0805;199;300;0.663;15000;16;3.5;SAS 3.0 Gb/s
5026;Toshiba MG03SCA400;;4000;;7200;64;3.5;SAS 6.0 Gb/s
5027;Kingston SSDNow KC300;;120;;SSD;;2.5;SATA 6.0 Gb/s
5028;Kingston SSDNow KC300;120.52;180;0.67;SSD;;2.5;SATA 6.0 Gb/s
5029;Kingston SSDNow KC300;;480;;SSD;;2.5;SATA 6.0 Gb/s
5030;Kingston SSDNow V300;;480;;SSD;;2.5;SATA 6.0 Gb/s
5031;Kingston SSDNow V300;;480;;SSD;;2.5;SATA 6.0 Gb/s
5032;Mushkin Scorpion PCIe;;240;;SSD;;PCIe;PCIe x2
5033;Mushkin Scorpion PCIe;;960;;SSD;;PCIe;PCIe x2
5034;PNY Prevail;;120;;SSD;;2.5;SATA 6.0 Gb/s
5035;Samsung 840 Evo;;120;;SSD;;mSATA;mSATA
5036;Samsung 840 Evo;;250;;SSD;;mSATA;mSATA
5037;SanDisk Extreme II;;480;;SSD;;2.5;SATA 6.0 Gb/s
5038;Toshiba Q Series Pro;;512;;SSD;;2.5;SATA 6.0 Gb/s
5039;Transcend SSD340;;128;;SSD;;2.5;SATA 6.0 Gb/s
5040;Transcend SSD340;;64;;SSD;;2.5;SATA 6.0 Gb/s
5041;VisionTek mSATA;;120;;SSD;;mSATA;mSATA
5042;VisionTek GoDrive;;120;;SSD;;2.5;SATA 6.0 Gb/s
5043;VisionTek GoDrive;;240;;SSD;;2.5;SATA 6.0 Gb/s
5044;VisionTek GoDrive;;60;;SSD;;2.5;SATA 6.0 Gb/s
5045;Intel 710;;300;;SSD;;2.5;SATA 3.0 Gb/s
5046;OCZ Talos 2 C;;480;;SSD;;2.5;SAS 6.0 Gb/s
5047;OCZ Talos 2 C;;960;;SSD;;2.5;SAS 6.0 Gb/s
5048;OCZ Talos 2 R;;400;;SSD;;2.5;SAS 6.0 Gb/s
5049;OCZ Z-Drive R4 CM84;;1200;;SSD;;PCIe;PCIe x8
5050;OCZ Z-Drive R4 CM88;;1600;;SSD;;PCIe;PCIe x8
5051;Hitachi 0S03355;;4000;;7200;64;3.5;SATA 6.0 Gb/s
5052;Hitachi Deskstar NAS;;3000;;7200;64;3.5;SATA 6.0 Gb/s
5053;Seagate 600 Pro;;120;;SSD;;2.5;SATA 6.0 Gb/s
5054;Seagate 600 Pro;;400;;SSD;;2.5;SATA 6.0 Gb/s
5055;Toshiba MQ01ABD100H;;1000;;;32;2.5;SATA 6.0 Gb/s
5056;HP HP mSATA;;256;;SSD;;mSATA;mSATA
5057;OCZ Vertex 460;;240;;SSD;;2.5;SATA 6.0 Gb/s
5058;OCZ Vertex 460;;480;;SSD;;2.5;SATA 6.0 Gb/s
5059;SanDisk X110;;32;;SSD;;mSATA;mSATA
5060;SanDisk ReadyCache;;32;;SSD;;2.5;SATA 6.0 Gb/s
5061;Seagate Pulsar.2;;800;;SSD;;2.5;SAS 6.0 Gb/s
5062;Axiom HD32072S-AX;;320;;7200;;3.5;SATA 3.0 Gb/s
5063;IBM 90Y8572;403.92;2000;0.202;7200;;3.5;SAS 6.0 Gb/s
5064;Mushkin ProSpec;;120;;SSD;;2.5;SATA 6.0 Gb/s
5065;Mushkin ProSpec;;240;;SSD;;2.5;SATA 6.0 Gb/s
5066;Mushkin ProSpec;;480;;SSD;;2.5;SATA 6.0 Gb/s
5067;Crucial M550;377.77;128;2.951;SSD;;mSATA;mSATA
5068;Crucial M550;;512;;SSD;;mSATA;mSATA
5069;SanDisk X110;;32;;SSD;;mSATA;mSATA
5070;SanDisk X110;;64;;SSD;;mSATA;mSATA
5071;SanDisk X110;;128;;SSD;;mSATA;mSATA
5072;ADATA Premier Pro SP920;;256;;SSD;;2.5;SATA 6.0 Gb/s
5073;Crucial M550;;256;;SSD;;mSATA;mSATA
5074;Seagate Pulsar.2;;200;;SSD;;2.5;SAS 6.0 Gb/s
5075;SanDisk X210;;512;;SSD;;2.5;SATA 6.0 Gb/s
5076;Axiom 0A89470-AX;;500;;7200;64;3.5;SATA 6.0 Gb/s
5077;Axiom 0A89478-AX;;3000;;7200;64;3.5;SATA 6.0 Gb/s
5078;V7 Elite;;128;;SSD;;2.5;SATA 6.0 Gb/s
5079;Hitachi 0J23353;;320;;5400;8;2.5;SATA 3.0 Gb/s
5080;Samsung 840 EVO;;250;;SSD;;2.5;SATA 6.0 Gb/s
5081;Plextor M6S;;512;;SSD;;2.5;SATA 6.0 Gb/s
5082;Kingston SSDNow E5;;480;;SSD;;2.5;SATA 6.0 Gb/s
5083;Plextor M6M PX-128M6M;;128;;SSD;;mSATA;mSATA
5084;Plextor M6M PX-256M6M;;256;;SSD;;mSATA;mSATA
5085;Plextor M6M PX-64M6M;;64;;SSD;;mSATA;mSATA
5086;Samsung SM843T Data Center;;240;;SSD;;2.5;SATA 6.0 Gb/s
5087;Samsung SM843T Data Center;;480;;SSD;;2.5;SATA 6.0 Gb/s
5088;SanDisk X110 SD6SF1M-256G-1022I;;256;;SSD;;mSATA;mSATA
5089;Plextor M6e;;128;;SSD;;M.2-2280;M.2 PCIe 3.0 X2
5090;ADATA S510;;240;;SSD;;2.5;SATA 6.0 Gb/s
5091;Corsair Force LX;;128;;SSD;;2.5;SATA 6.0 Gb/s
5092;Kingston SSDNow mS200;;240;;SSD;;mSATA;mSATA
5093;Kingston SSDNow mS200;;480;;SSD;;mSATA;mSATA
5094;OCZ Talos 2 C;;240;;SSD;;2.5;SAS 6.0 Gb/s
5095;Seagate 1200 SSD;225;200;1.125;SSD;;2.5;SAS 12.0 Gb/s
5096;Seagate 1200 SSD;;200;;SSD;;2.5;SAS 12.0 Gb/s
5097;Seagate ST3000VX002;;3000;;5900;64;3.5;SATA 6.0 Gb/s
5098;Seagate STBD6000100;;6000;;5900;128;3.5;SATA 6.0 Gb/s
5099;Micron Enterprise;;100;;SSD;;2.5;SATA 6.0 Gb/s
5100;ADATA Premier Pro SP310;;32;;SSD;;mSATA;mSATA
5101;ADATA Premier Pro SP310;;64;;SSD;;mSATA;mSATA
5102;ADATA Premier SP610;;1000;;SSD;;2.5;SATA 6.0 Gb/s
5103;Intel 530;;80;;SSD;;mSATA;mSATA
5104;Intel 530;;180;;SSD;;mSATA;mSATA
5105;Intel 530;;80;;SSD;;2.5;SATA 6.0 Gb/s
5106;PNY Prevail;;120;;SSD;;2.5;SATA 6.0 Gb/s
5107;OCZ RevoDrive 350;;960;;SSD;;PCIe;PCIe x8
5108;OCZ RevoDrive 350;;480;;SSD;;PCIe;PCIe x8
5109;OCZ RevoDrive 350;;240;;SSD;;PCIe;PCIe x8
5110;ADATA Premier SP610;;256;;SSD;;2.5;SATA 6.0 Gb/s
5111;ADATA Premier Pro SP310;;128;;SSD;;mSATA;mSATA
5112;Transcend SSD370;;64;;SSD;;2.5;SATA 6.0 Gb/s
5113;Transcend MTS400;;64;;SSD;;M.2-2242;M.2 SATA
5114;Transcend MTS600;;64;;SSD;;M.2-2260;M.2 SATA
5115;Hitachi He6;;6000;;7200;64;3.5;SAS 6.0 Gb/s
5116;SanDisk X300S;;64;;SSD;;2.5;SAS 6.0 Gb/s
5117;Intel Pro 2500;;120;;SSD;;2.5;SATA 6.0 Gb/s
5118;Axiom Signature III;;60;;SSD;;2.5;SATA 6.0 Gb/s
5119;Axiom Mac Signature III;;60;;SSD;;2.5;SATA 6.0 Gb/s
5120;Axiom Mac Signature III;;120;;SSD;;2.5;SATA 6.0 Gb/s
5121;Intel 530;;180;;SSD;;M.2-2280;M.2 SATA
5122;Transcend MTS800;;128;;SSD;;M.2-2280;M.2 SATA
5123;Transcend MTS800;139.94;256;0.547;SSD;;M.2-2280;M.2 SATA
5124;ADATA SP900 M.2;;256;;SSD;;M.2-2242;M.2 SATA
5125;ADATA SP900 M.2;;512;;SSD;;M.2-2280;M.2 SATA
5126;Hitachi Travelstar Z5K500;;500;;5400;8;2.5;SATA 6.0 Gb/s
5127;Lenovo ThinkPad;;500;;5400;8;2.5;SATA 3.0 Gb/s
5128;Seagate ST320LM010;75.22;320;0.235;7200;32;2.5;SATA 6.0 Gb/s
5129;Seagate Savvio 15K.3;121.45;300;0.405;15000;64;2.5;SAS 6.0 Gb/s
5130;Toshiba MK1661GSYN;;160;;7200;16;2.5;SATA 3.0 Gb/s
5131;Toshiba MQ01ABD075 dup;;750;;5400;8;2.5;SATA 3.0 Gb/s
5132;Toshiba PH2050U-1SHD;;500;;;32;2.5;SATA 6.0 Gb/s
5133;Western Digital Xe;;900;;10000;32;2.5;SAS 6.0 Gb/s
5134;Hitachi Ultrastar C10K900;;600;;10000;64;2.5;SAS 6.0 Gb/s
5135;Hitachi Ultrastar C10K900;;900;;10000;64;2.5;SAS 6.0 Gb/s
5136;Seagate ST2000NM0054;125;2000;0.062;7200;128;3.5;SAS 12.0 Gb/s
5137;Hitachi 0S03364;;4000;;5400;32;3.5;SATA 6.0 Gb/s
5138;Axiom Mac Signature III;;240;;SSD;;2.5;SATA 6.0 Gb/s
5139;Axiom Mac Signature III;;480;;SSD;;2.5;SATA 6.0 Gb/s
5140;Axiom Mac Signature III;;60;;SSD;;2.5;SATA 6.0 Gb/s
5141;Axiom AXI-SSD25M3400B;;400;;SSD;;2.5;SATA 6.0 Gb/s
5142;Axiom Signature III;;120;;SSD;;2.5;SATA 6.0 Gb/s
5143;Axiom Signature III;;480;;SSD;;2.5;SATA 6.0 Gb/s
5144;Intel Pro 2500;;480;;SSD;;2.5;SATA 6.0 Gb/s
5145;Plextor M6 PRO;;128;;SSD;;2.5;SATA 6.0 Gb/s
5146;Plextor M6 PRO;;256;;SSD;;2.5;SATA 6.0 Gb/s
5147;Plextor M6 PRO;;512;;SSD;;2.5;SATA 6.0 Gb/s
5148;PNY Prevail;;240;;SSD;;2.5;SATA 6.0 Gb/s
5149;Apotop MASS3C256GBR;;256;;SSD;;2.5;SATA 6.0 Gb/s
5150;Mushkin Atlas;;480;;SSD;;mSATA;mSATA
5151;Mushkin Chronos;;120;;SSD;;2.5;SATA 6.0 Gb/s
5152;Mushkin Chronos;;240;;SSD;;2.5;SATA 6.0 Gb/s
5153;Mushkin Chronos;;480;;SSD;;2.5;SATA 6.0 Gb/s
5154;Mushkin Chronos;;60;;SSD;;2.5;SATA 6.0 Gb/s
5155;Patriot PP240Patriot Pyro M3GSM3SSDR;;240;;SSD;;mSATA;mSATA
5156;VisionTek 900610;;60;;SSD;;mSATA;mSATA
5157;Transcend TS1TSSD370;;1000;;SSD;;2.5;SATA 6.0 Gb/s
5158;Hitachi Ultrastar 7K4000;;3000;;7200;64;3.5;SATA 6.0 Gb/s
5159;Hitachi Ultrastar He8;;8000;;7200;128;3.5;SAS 6.0 Gb/s
5160;Hitachi Deskstar NAS;;6000;;7200;128;3.5;SATA 6.0 Gb/s
5161;Hitachi He6;;6000;;7200;64;3.5;SAS 6.0 Gb/s
5162;Western Digital Purple;;5000;;5400;64;3.5;SATA 6.0 Gb/s
5163;G.Skill Phoenix Blade;;480;;SSD;;PCIe;PCIe x8
5164;Silicon Power S70;;240;;SSD;;2.5;SATA 6.0 Gb/s
5165;Hitachi Deskstar NAS;;4000;;7200;64;3.5;SATA 6.0 Gb/s
5166;Hitachi He6;;6000;;7200;64;3.5;SATA 6.0 Gb/s
5167;HP 653950-001;;146;;15000;;2.5;SAS 6.0 Gb/s
5168;Seagate ST1000LM028;;1000;;;;2.5;SATA 6.0 Gb/s
5169;Axiom SSD25A37240-AX;;240;;SSD;;2.5;SATA 6.0 Gb/s
5170;Edge Tech Boost Pro Slim;;480;;SSD;;2.5;SATA 6.0 Gb/s
5171;Intel 730;;240;;SSD;;2.5;SATA 6.0 Gb/s
5172;Intel DC P3600;459.74;400;1.149;SSD;;2.5;U.2
5173;Intel 530;;180;;SSD;;M.2-2280;M.2 SATA
5174;Kingston SSD Now mS200;;30;;SSD;;mSATA;mSATA
5175;OCZ VTX460A-25SAT3-120G;;120;;SSD;;2.5;SATA 6.0 Gb/s
5176;Patriot Pyro M3;;120;;SSD;;mSATA;mSATA
5177;Samsung Data Center;;960;;SSD;;2.5;SATA 6.0 Gb/s
5178;SanDisk X300S;;64;;SSD;;2.5;SATA 6.0 Gb/s
5179;Silicon Power Slim S80;;240;;SSD;;2.5;SATA 6.0 Gb/s
5180;Silicon Power Slim S80;;480;;SSD;;2.5;SATA 6.0 Gb/s
5181;TEAMGROUP Dark L3;;60;;SSD;;2.5;SATA 6.0 Gb/s
5182;Transcend TS128GMSA370;;128;;SSD;;mSATA;mSATA
5183;VisionTek DLX;;60;;SSD;;mSATA;mSATA
5184;VisionTek DLX;;120;;SSD;;mSATA;mSATA
5185;VisionTek DLX;;240;;SSD;;mSATA;mSATA
5186;MyDigitalSSD Super Boot Drive;;32;;SSD;;M.2-2242;M.2 SATA
5187;MyDigitalSSD Super Boot Drive;;64;;SSD;;M.2-2242;M.2 SATA
5188;MyDigitalSSD Super Boot Drive;;128;;SSD;;M.2-2242;M.2 SATA
5189;MyDigitalSSD Super Boot Eco;;64;;SSD;;M.2-2242;M.2 SATA
5190;MyDigitalSSD Super Boot Eco;;128;;SSD;;M.2-2242;M.2 SATA
5191;MyDigitalSSD Super Cache 2;;64;;SSD;;M.2-2242;M.2 SATA
5192;MyDigitalSSD Super Cache 2;;128;;SSD;;M.2-2242;M.2 SATA
5193;MyDigitalSSD Bullet Proof 4;;30;;SSD;;mSATA;mSATA
5194;MyDigitalSSD Bullet Proof 4;;60;;SSD;;mSATA;mSATA
5195;MyDigitalSSD Bullet Proof 4;;120;;SSD;;mSATA;mSATA
5196;MyDigitalSSD Bullet Proof 4;;240;;SSD;;mSATA;mSATA
5197;MyDigitalSSD Bullet Proof 4 Eco;;128;;SSD;;mSATA;mSATA
5198;MyDigitalSSD Bullet Proof 4 Eco;;256;;SSD;;mSATA;mSATA
5199;MyDigitalSSD Super Cache 2;;64;;SSD;;mSATA;mSATA
5200;MyDigitalSSD Super Cache 2;;128;;SSD;;mSATA;mSATA
5201;MyDigitalSSD Super Boot Drive;;32;;SSD;;mSATA;mSATA
5202;MyDigitalSSD Super Boot Drive;;64;;SSD;;mSATA;mSATA
5203;MyDigitalSSD Super Boot Drive;;128;;SSD;;mSATA;mSATA
5204;MyDigitalSSD Super Boot Drive;;256;;SSD;;mSATA;mSATA
5205;MyDigitalSSD Super Cache 2;;24;;SSD;;mSATA;mSATA
5206;MyDigitalSSD Super Cache 2;;32;;SSD;;mSATA;mSATA
5207;MyDigitalSSD Super Cache 2;;64;;SSD;;mSATA;mSATA
5208;MyDigitalSSD Super Cache 2;;128;;SSD;;mSATA;mSATA
5209;MyDigitalSSD Bullet Proof 4 Eco;;120;;SSD;;2.5;SATA 6.0 Gb/s
5210;MyDigitalSSD PATA MAX;;32;;SSD;;2.5;PATA 44-Pin 133
5211;MyDigitalSSD PATA MAX;;64;;SSD;;2.5;PATA 44-Pin 133
5212;MyDigitalSSD PATA MAX;;128;;SSD;;2.5;PATA 44-Pin 133
5213;Hitachi Deskstar;;3000;;5400;32;3.5;SATA 6.0 Gb/s
5214;Seagate ST2000NM0034;;2000;;7200;128;3.5;SATA 6.0 Gb/s
5215;Seagate ST2000NX0273;245;2000;0.122;7200;128;2.5;SAS 12.0 Gb/s
5216;Seagate Enterprise NAS;;2000;;7200;128;3.5;SATA 6.0 Gb/s
5217;Seagate Enterprise NAS;;3000;;7200;128;3.5;SATA 6.0 Gb/s
5218;Seagate SV35;;3000;;5400;64;3.5;SATA 6.0 Gb/s
5219;Seagate SV35;;3000;;5900;64;3.5;SATA 6.0 Gb/s
5220;Seagate Enterprise NAS;;4000;;7200;128;3.5;SATA 6.0 Gb/s
5221;Seagate Enterprise NAS;;5000;;7200;128;3.5;SATA 6.0 Gb/s
5222;Seagate ST6000NM0104;178;6000;0.03;7200;128;3.5;SATA 6.0 Gb/s
5223;VisionTek Go Drive;332.29;1000;0.332;SSD;;2.5;SATA 6.0 Gb/s
5224;Corsair Neutron XT;;480;;SSD;;2.5;SATA 6.0 Gb/s
5225;Western Digital Black;;250;;7200;32;2.5;SATA 6.0 Gb/s
5226;Western Digital Scorpio Black;;320;;7200;16;2.5;SATA 3.0 Gb/s
5227;Western Digital Black;67.89;320;0.212;7200;32;2.5;SATA 6.0 Gb/s
5228;Crucial MX200;327.77;250;1.311;SSD;;mSATA;mSATA
5229;Crucial MX200;377.97;500;0.756;SSD;;mSATA;mSATA
5230;HP 718171-B21;;120;;SSD;;3.5;SATA 6.0 Gb/s
5231;Intel SSDMCEAC060B3;;60;;SSD;;mSATA;mSATA
5232;Mushkin MKNP44SC480GB-DX;;480;;SSD;;PCIe;PCIe x8
5233;OCZ D2CSTK251M3T-0480;;480;;SSD;;2.5;SATA 6.0 Gb/s
5234;OCZ Vertex 460A;;240;;SSD;;2.5;SATA 6.0 Gb/s
5235;Patriot Blaze;;480;;SSD;;2.5;SATA 6.0 Gb/s
5236;Patriot Ignite;;960;;SSD;1024;2.5;SATA 6.0 Gb/s
5237;Samsung Data Center;;480;;SSD;;2.5;SATA 6.0 Gb/s
5238;Seagate ST373454LC-RF;;73.4;;15000;8;3.5;SAS 3.0 Gb/s
5239;Silicon Power Slim S80;;960;;SSD;;2.5;SATA 6.0 Gb/s
5240;Toshiba MD03ACA-V;;2000;;7200;64;3.5;SATA 6.0 Gb/s
5241;Toshiba MD03ACA-V;;3000;;7200;64;3.5;SATA 6.0 Gb/s
5242;Toshiba MD03ACA-V;;4000;;7200;64;3.5;SATA 6.0 Gb/s
5243;Transcend TS512GMSA370;314.36;512;0.614;SSD;;mSATA;mSATA
5244;Transcend TS64GMSA370;;64;;SSD;;mSATA;mSATA
5245;VisionTek Go Drive;351.75;480;0.733;SSD;;2.5;SATA 6.0 Gb/s
5246;Kingston SMS200S3/120G;;120;;SSD;;mSATA;mSATA
5247;Intel DC S3710;214.45;200;1.072;SSD;;2.5;SATA 6.0 Gb/s
5248;Intel DC S3610;;200;;SSD;;2.5;SATA 6.0 Gb/s
5249;Intel DC S3610;;480;;SSD;;2.5;SATA 6.0 Gb/s
5250;Mushkin Chronos;;480;;SSD;;2.5;SATA 6.0 Gb/s
5251;Mushkin ECO2;;240;;SSD;;2.5;SATA 6.0 Gb/s
5252;Hitachi Ultrastar C7K1000;;1000;;7200;64;2.5;SAS 6.0 Gb/s
5253;Hitachi Ultrastar 7K6000;;2000;;7200;128;3.5;SATA 6.0 Gb/s
5254;Hitachi Ultrastar He8;;8000;;7200;128;3.5;SAS 12.0 Gb/s
5255;Hitachi Ultrastar He8;;8000;;7200;128;3.5;SAS 12.0 Gb/s
5256;Hitachi Ultrastar He8;;8000;;7200;128;3.5;SATA 6.0 Gb/s
5257;Hitachi Ultrastar 7K6000;;6000;;7200;128;3.5;SATA 6.0 Gb/s
5258;Samsung 850 Evo;;1000;;SSD;;mSATA;mSATA
5259;Mushkin ECO2;;480;;SSD;;2.5;SATA 6.0 Gb/s
5260;Mushkin Striker;;240;;SSD;;2.5;SATA 6.0 Gb/s
5261;Mushkin Striker;;480;;SSD;;2.5;SATA 6.0 Gb/s
5262;PNY CS2111;;240;;SSD;;2.5;SATA 6.0 Gb/s
5263;PNY CS2111;;480;;SSD;;2.5;SATA 6.0 Gb/s
5264;Samsung 850 Evo;;120;;SSD;;mSATA;mSATA
5265;Samsung 850 Evo;;250;;SSD;;mSATA;mSATA
5266;Mushkin ECO2;;120;;SSD;;2.5;SATA 6.0 Gb/s
5267;Mushkin ECO2;;60;;SSD;;2.5;SATA 6.0 Gb/s
5268;Seagate ST1000NX0333;100.53;1000;0.101;7200;128;2.5;SAS 12.0 Gb/s
5269;OWC Mercury Electra;;120;;SSD;;2.5;SATA 6.0 Gb/s
5270;ADATA Premier Pro SP920;;512;;SSD;;2.5;SATA 6.0 Gb/s
5271;Hitachi Ultrastar C15K600;;600;;15000;128;2.5;SAS 12.0 Gb/s
5272;Hitachi Ultrastar 7K6000;;2000;;7200;128;3.5;SAS 12.0 Gb/s
5273;Hitachi Ultrastar He6;;6000;;7200;128;3.5;SAS 6.0 Gb/s
5274;Micron M600;;128;;SSD;;mSATA;mSATA
5275;Micron M600;;256;;SSD;;mSATA;mSATA
5276;Micron M600;;512;;SSD;;mSATA;mSATA
5277;OCZ Vector 180;;120;;SSD;;2.5;SATA 6.0 Gb/s
5278;OCZ Vector 180;;480;;SSD;;2.5;SATA 6.0 Gb/s
5279;Seagate ST4000NM0054;;4000;;7200;128;3.5;SAS 12.0 Gb/s
5280;ADATA Premier Pro SP920;;1000;;SSD;;2.5;SATA 6.0 Gb/s
5281;Corsair Force LS;;480;;SSD;;2.5;SATA 6.0 Gb/s
5282;Corsair Force LS;;960;;SSD;;2.5;SATA 6.0 Gb/s
5283;Intel 535;;480;;SSD;;2.5;SATA 6.0 Gb/s
5284;Kingston SSDNow KC310;;960;;SSD;;2.5;SATA 6.0 Gb/s
5285;OCZ D2CSTK251M3T-0120;;128;;SSD;;2.5;SATA 6.0 Gb/s
5286;Edge Tech PE233846;;480;;SSD;;2.5;SATA 6.0 Gb/s
5287;Hitachi Ultrastar He8;;8000;;7200;128;3.5;SAS 12.0 Gb/s
5288;Seagate ST2000NX0343;369.95;2000;0.185;7200;128;2.5;SAS 12.0 Gb/s
5289;Intel 535;306.1;240;1.275;SSD;;2.5;SATA 6.0 Gb/s
5290;PNY CL4111;;240;;SSD;;2.5;SATA 6.0 Gb/s
5291;PNY CL4111;;480;;SSD;;2.5;SATA 6.0 Gb/s
5292;Seagate ST2000NM0014;;2000;;7200;128;3.5;SAS 12.0 Gb/s
5293;Kingston SHSS3B7A/120G Bundle;;120;;SSD;;2.5;SATA 6.0 Gb/s
5294;Kingston SHSS3B7A/240G Bundle;;240;;SSD;;2.5;SATA 6.0 Gb/s
5295;Kingston SHSS3B7A/480G Bundle;;480;;SSD;;2.5;SATA 6.0 Gb/s
5296;Intel 535;;120;;SSD;;2.5;SATA 6.0 Gb/s
